Neighbourhood,Neighbourhood Id,Combined Indicators,Total Population,Assaults,Sexual Assaults,Break & Enters,Robberies,Vehicle Thefts,Thefts,Murders,Crime
University,79,N/A,7607,111,20,47,21,13,5,0,217
Palmerston-Little Italy,80,N/A,13826,67,13,39,27,12,6,0,164
Trinity-Bellwoods,81,N/A,16556,133,10,49,20,25,2,1,240
Niagara,82,N/A,31180,206,27,68,16,22,18,1,358
Dufferin Grove,83,N/A,11785,84,7,27,15,8,3,1,145
Little Portugal,84,N/A,15559,96,12,39,8,13,3,1,172
South Parkdale,85,N/A,21849,204,10,67,33,22,9,1,346
Roncesvalles,86,N/A,14974,95,11,38,25,12,3,0,184
High Park-Swansea,87,N/A,23925,85,11,32,20,11,5,0,164
High Park North,88,N/A,22162,74,12,27,20,8,1,0,142
Runnymede-Bloor West Village,89,N/A,10070,30,2,22,11,9,1,0,75
Junction Area,90,N/A,14366,95,10,31,13,22,3,0,174
Weston-Pellam Park,91,N/A,11098,67,7,15,11,17,7,1,125
Corso Italia-Davenport,92,N/A,14133,57,8,15,25,7,2,0,114
Dovercourt-Wallace Emerson-Juncti,93,N/A,36625,196,20,78,35,27,12,0,368
Wychwood,94,N/A,14349,69,9,28,9,18,3,0,136
Annex,95,N/A,30526,206,29,123,29,18,20,0,425
Casa Loma,96,N/A,10968,27,4,19,1,5,6,0,62
Yonge-St.Clair,97,N/A,12528,28,4,13,5,7,8,0,65
Rosedale-Moore Park,98,N/A,20923,78,9,57,13,14,6,0,177
Mount Pleasant East,99,N/A,16775,20,5,16,3,8,2,0,54
Yonge-Eglinton,100,N/A,11817,54,15,19,15,4,2,0,109
Forest Hill South,101,N/A,10732,9,2,28,1,9,5,0,54
Forest Hill North,102,N/A,12806,22,2,18,5,6,2,0,55
Lawrence Park South,103,N/A,15179,19,0,45,2,20,1,0,87
Mount Pleasant West,104,N/A,29658,91,8,38,5,4,6,1,153
Lawrence Park North,105,N/A,14607,21,3,28,4,13,3,0,72
Humewood-Cedarvale,106,N/A,14365,47,4,26,7,17,5,0,106
Oakwood Village,107,N/A,21210,110,8,22,18,24,1,0,183
Briar Hill-Belgravia,108,N/A,14257,53,4,31,15,16,6,0,125
Caledonia-Fairbank,109,N/A,9955,60,7,13,18,13,1,0,112
Keelesdale-Eglinton West,110,N/A,11058,49,5,14,23,17,0,0,108
Rockcliffe-Smythe,111,N/A,22246,123,11,37,46,36,3,0,256
Beechborough-Greenbrook,112,N/A,6577,50,14,12,10,7,3,0,96
Weston,113,N/A,17992,169,11,43,35,39,2,4,303
Lambton Baby Point,114,N/A,7985,21,2,8,2,1,1,0,35
Mount Dennis,115,N/A,13593,83,7,30,24,14,0,0,158
Steeles,116,N/A,24623,36,2,48,13,28,3,0,130
L'Amoreaux,117,N/A,43993,136,8,48,31,28,5,2,258
Tam O'Shanter-Sullivan,118,N/A,27446,91,5,60,12,23,7,0,198
Wexford/Maryvale,119,N/A,27917,152,10,74,21,40,11,2,310
Clairlea-Birchmount,120,N/A,26984,215,11,88,30,48,16,1,409
Oakridge,121,N/A,13845,113,12,57,25,11,10,0,228
Birchcliffe-Cliffside,122,N/A,22291,163,8,76,19,16,6,0,288
Cliffcrest,123,N/A,15935,89,9,57,18,10,3,0,186
Kennedy Park,124,N/A,17123,183,11,45,27,11,4,0,281
Ionview,125,N/A,13641,82,10,17,8,5,4,0,126
Dorset Park,126,N/A,25003,154,10,69,41,45,13,0,332
Bendale,127,N/A,29960,195,30,56,55,46,12,3,397
Agincourt South-Malvern West,128,N/A,23757,106,9,61,18,26,11,0,231
Agincourt North,129,N/A,29113,63,8,49,12,16,4,0,152
Milliken,130,N/A,26572,62,0,67,25,34,11,0,199
Rouge,131,N/A,46496,124,12,76,29,19,12,0,272
Malvern,132,N/A,43794,228,16,65,54,36,7,4,410
Centennial Scarborough,133,N/A,13362,38,0,18,11,5,1,0,73
Highland Creek,134,N/A,12494,50,12,34,7,8,1,0,112
Morningside,135,N/A,17455,136,8,19,12,13,0,0,188
West Hill,136,N/A,27392,325,18,72,56,14,7,0,492
Woburn,137,N/A,53485,293,32,78,58,31,16,1,509
Eglinton East,138,N/A,22776,165,13,62,32,22,6,0,300
Scarborough Village,139,N/A,16724,149,13,34,22,9,2,6,235
Guildwood,140,N/A,9917,36,8,17,8,4,1,0,74
